Title,Author,Year,Journal,Country,Domain,Abstract
Geotechnical Analysis of Landfill Slope Stability - Case Study 1,Maria Garcia,2021,Journal of Hazardous Materials,Germany,Prediction,"This study explores the prediction aspects of engineered landfills, focusing on geotechnical analysis of landfill slope stability - case study 1 in Germany."
Impact of Climate Change on Landfill Leachate Behavior - Case Study 2,Lu Wei,2022,Waste Management,India,Monitoring,"This study explores the monitoring aspects of engineered landfills, focusing on impact of climate change on landfill leachate behavior - case study 2 in India."
Leachate Control Strategies in Municipal Solid Waste Landfills - Case Study 3,Amit Patel,2017,Waste Management,Canada,Monitoring,"This study explores the monitoring aspects of engineered landfills, focusing on leachate control strategies in municipal solid waste landfills - case study 3 in Canada."
Geotechnical Analysis of Landfill Slope Stability - Case Study 4,Chen Li,2022,Environmental Geotechnics,Brazil,Enhancement,"This study explores the enhancement aspects of engineered landfills, focusing on geotechnical analysis of landfill slope stability - case study 4 in Brazil."
Leachate Control Strategies in Municipal Solid Waste Landfills - Case Study 5,Lu Wei,2017,Waste Management,Germany,Guidelines,"This study explores the guidelines aspects of engineered landfills, focusing on leachate control strategies in municipal solid waste landfills - case study 5 in Germany."
Performance of Geosynthetic Clay Liners in Landfill Systems - Case Study 6,Fatima Noor,2024,Waste Management,Brazil,Security,"This study explores the security aspects of engineered landfills, focusing on performance of geosynthetic clay liners in landfill systems - case study 6 in Brazil."
Design Optimization of Engineered Landfill Liners - Case Study 7,Maria Garcia,2019,Waste Management,Germany,Effect,"This study explores the effect aspects of engineered landfills, focusing on design optimization of engineered landfill liners - case study 7 in Germany."
Use of Recycled Materials in Landfill Cover Systems - Case Study 8,Maria Garcia,2017,Waste Management,China,Prediction,"This study explores the prediction aspects of engineered landfills, focusing on use of recycled materials in landfill cover systems - case study 8 in China."
Smart Sensor Integration for Leachate Monitoring - Case Study 9,Rohit Maurya,2021,Geotextiles and Geomembranes,Brazil,Guidelines,"This study explores the guidelines aspects of engineered landfills, focusing on smart sensor integration for leachate monitoring - case study 9 in Brazil."
Impact of Climate Change on Landfill Leachate Behavior - Case Study 10,Jane Smith,2017,Environmental Geotechnics,China,Prevention,"This study explores the prevention aspects of engineered landfills, focusing on impact of climate change on landfill leachate behavior - case study 10 in China."
Impact of Climate Change on Landfill Leachate Behavior - Case Study 11,Fatima Noor,2021,Waste Management,India,Prevention,"This study explores the prevention aspects of engineered landfills, focusing on impact of climate change on landfill leachate behavior - case study 11 in India."
Use of Recycled Materials in Landfill Cover Systems - Case Study 12,Lu Wei,2022,Waste Management,USA,Prevention,"This study explores the prevention aspects of engineered landfills, focusing on use of recycled materials in landfill cover systems - case study 12 in USA."
Geotechnical Analysis of Landfill Slope Stability - Case Study 13,Rohit Maurya,2018,Waste Management,Canada,Analysis,"This study explores the analysis aspects of engineered landfills, focusing on geotechnical analysis of landfill slope stability - case study 13 in Canada."
Impact of Climate Change on Landfill Leachate Behavior - Case Study 14,Jane Smith,2024,Geotextiles and Geomembranes,Germany,Design,"This study explores the design aspects of engineered landfills, focusing on impact of climate change on landfill leachate behavior - case study 14 in Germany."
Use of Recycled Materials in Landfill Cover Systems - Case Study 15,Jane Smith,2020,Journal of Hazardous Materials,Germany,Security,"This study explores the security aspects of engineered landfills, focusing on use of recycled materials in landfill cover systems - case study 15 in Germany."
Smart Sensor Integration for Leachate Monitoring - Case Study 16,Rohit Maurya,2023,Waste Management,Germany,Material,"This study explores the material aspects of engineered landfills, focusing on smart sensor integration for leachate monitoring - case study 16 in Germany."
Impact of Climate Change on Landfill Leachate Behavior - Case Study 17,Lu Wei,2018,Geotextiles and Geomembranes,Canada,Analysis,"This study explores the analysis aspects of engineered landfills, focusing on impact of climate change on landfill leachate behavior - case study 17 in Canada."
Impact of Climate Change on Landfill Leachate Behavior - Case Study 18,David Kim,2022,Journal of Hazardous Materials,Japan,Guidelines,"This study explores the guidelines aspects of engineered landfills, focusing on impact of climate change on landfill leachate behavior - case study 18 in Japan."
Impact of Climate Change on Landfill Leachate Behavior - Case Study 19,Alex Tan,2022,Geotextiles and Geomembranes,Germany,Guidelines,"This study explores the guidelines aspects of engineered landfills, focusing on impact of climate change on landfill leachate behavior - case study 19 in Germany."
